arm,target,seed,ed2,sw1,coverage,mass_err,event_time,censored,kernel_pairs,diverged
step-ceil-0.1,V-2d-K5,3,0.010161312583657933,0.06665593635275013,1.0,0.05000000000000002,8,0,2150400,0
step-ceil-0.1,V-2d-K5,4,0.008895846063896373,0.061982542936012824,1.0,0.05000000000000002,9,0,2150400,0
step-ceil-0.1,V-2d-K5,5,0.009145570635083589,0.0630841441205552,1.0,0.05000000000000002,7,0,2150400,0
step-ceil-0.1,V-2d-K4-uneq,0,0.007827293870739105,0.051325555352898844,1.0,0.02500000000000001,9,0,2150400,0
step-ceil-0.1,V-2d-K4-uneq,1,0.006975309286321174,0.0450829923119007,1.0,0.10833333333333331,7,0,2150400,0
step-ceil-0.1,V-2d-K4-uneq,2,0.007091124910969748,0.0469750530896783,1.0,0.07500000000000004,7,0,2150400,0
step-ceil-0.1,V-2d-K4-uneq,3,0.007154406296606242,0.04500147890685958,1.0,0.033333333333333395,7,0,2150400,0
step-ceil-0.1,V-2d-K4-uneq,4,0.007012858136248745,0.04664884624236942,1.0,0.05000000000000002,8,0,2150400,0
step-ceil-0.1,V-2d-K4-uneq,5,0.006573128794513217,0.04498788594310534,1.0,0.02500000000000001,7,0,2150400,0
step-ceil-0.1,V-3d-K4,0,0.013042283494502538,0.05635541046805451,1.0,0.0,9,0,2150400,0
step-ceil-0.1,V-3d-K4,1,0.013131598394017896,0.0553941466532804,1.0,0.04166666666666666,8,0,2150400,0
step-ceil-0.1,V-3d-K4,2,0.016599481042484987,0.06653261052487318,1.0,0.04166666666666666,6,0,2150400,0
step-ceil-0.1,V-3d-K4,3,0.015240004226309667,0.06399086671669106,1.0,0.0,8,0,2150400,0
step-ceil-0.1,V-3d-K4,4,0.01463582591819823,0.0627251689339229,1.0,0.04166666666666666,7,0,2150400,0
step-ceil-0.1,V-3d-K4,5,0.014263732498774662,0.05571420147921527,1.0,0.0,8,0,2150400,0
step-ceil-0.1,V-2d-K4-wide,0,0.015102521331280983,0.08721328960884923,1.0,0.08333333333333337,7,0,2150400,0
step-ceil-0.1,V-2d-K4-wide,1,0.012606663062586954,0.07410510414670564,1.0,0.08333333333333329,5,0,2150400,0
step-ceil-0.1,V-2d-K4-wide,2,0.015329863176964498,0.08926725155399125,1.0,0.04166666666666666,6,0,2150400,0
step-ceil-0.1,V-2d-K4-wide,3,0.014690444448633544,0.08624404175780298,1.0,0.08333333333333331,5,0,2150400,0
step-ceil-0.1,V-2d-K4-wide,4,0.012367674501421622,0.07735050068447503,1.0,0.0,6,0,2150400,0
step-ceil-0.1,V-2d-K4-wide,5,0.011747986624189188,0.07425510571150698,1.0,0.04166666666666666,6,0,2150400,0
step-ceil-0.25,V-1d-K3,0,0.00405484612026874,0.05184018494252124,1.0,0.0,4,0,2150400,0
step-ceil-0.25,V-1d-K3,1,0.004350681826153835,0.06366197359455603,1.0,0.0,4,0,2150400,0
step-ceil-0.25,V-1d-K3,2,0.006070110729531009,0.07853042296112353,1.0,0.041666666666666685,4,0,2150400,0
step-ceil-0.25,V-1d-K3,3,0.003296986181339001,0.05602828123280208,1.0,0.0,5,0,2150400,0
step-ceil-0.25,V-1d-K3,4,0.0037436558454171376,0.05567731818738928,1.0,0.041666666666666685,4,0,2150400,0
step-ceil-0.25,V-1d-K3,5,0.003452878257234504,0.055275429198921894,1.0,0.0,5,0,2150400,0
