cell,family,seed,base_ed2,mod_ed2,base_sw1,mod_sw1,base_time,base_cens,mod_time,mod_cens,base_pairs,mod_pairs,base_div,mod_div
H-2d-K4-hetero/missing,gauss,5,0.005882399703309615,0.006675374337718032,0.04078481916277023,0.04468896210598632,53,0,48,0,2150400,2150400,0,0
H-2d-K4-hetero/missing,gauss,6,0.005602995898834284,0.005959987482301643,0.04196128937116572,0.04359448619612252,45,0,41,0,2150400,2150400,0,0
H-2d-K4-hetero/missing,gauss,7,0.006796499193409411,0.00743788714675786,0.04809744761943921,0.05047122983123009,69,0,63,0,2150400,2150400,0,0
H-2d-K4-hetero/missing,gauss,8,0.006459914169000158,0.007085393997128153,0.04608194103047095,0.049157756168083114,47,0,42,0,2150400,2150400,0,0
H-2d-K4-hetero/missing,gauss,9,0.0056229487194873196,0.0059377404182933136,0.04161320222698535,0.04271409607236078,47,0,44,0,2150400,2150400,0,0
H-2d-K4-hetero/missing,gauss,10,0.0057828946337060705,0.006448450560742391,0.04263716606590766,0.0452730663087476,48,0,44,0,2150400,2150400,0,0
H-2d-K4-hetero/missing,gauss,11,0.006009678039388677,0.006383253250188736,0.04452332936779084,0.04604241359484027,51,0,47,0,2150400,2150400,0,0
H-2d-K4-hetero/missing,gauss,12,0.0053616070313863284,0.00585252289411653,0.04127292374776174,0.04402507247149127,37,0,34,0,2150400,2150400,0,0
H-2d-K4-hetero/missing,gauss,13,0.00619843288109212,0.007027248202168157,0.04450394757041342,0.04764840302008647,41,0,37,0,2150400,2150400,0,0
H-2d-K4-hetero/missing,gauss,14,0.006159897759870581,0.0066161970622983235,0.04463481298585403,0.04653000788489216,44,0,40,0,2150400,2150400,0,0
H-2d-K4-hetero/missing,gauss,15,0.006073877832237007,0.006550150727462234,0.045093476760037145,0.0469575981045679,52,0,47,0,2150400,2150400,0,0
H-2d-K4-hetero/missing,gauss,16,0.005342720790689204,0.005814753596021904,0.039695349348366396,0.04160451909120086,54,0,48,0,2150400,2150400,0,0
H-2d-K4-hetero/missing,gauss,17,0.006305536966747405,0.006869929202997338,0.04645477468629172,0.0490374517206229,43,0,40,0,2150400,2150400,0,0
H-2d-K4-hetero/missing,gauss,18,0.005493816955553954,0.006070965821831531,0.04125319750276813,0.04350874656073691,40,0,36,0,2150400,2150400,0,0
