arm,kind,target,family,init,cell,seed,planned_steps,completed_steps,maximum_training_batch,large_batch_updates,ordinary_batch_updates,knot_count,prior_batches,diagnostic_target_samples,diagnostic_use_large_batch,diagnostic_min_expected_count,tail_mass,wall_seconds,generator_example_evals,unique_latent_samples,target_samples,kernel_pairs,sort_work,stored_scalars,ed2,sw1,w2_quantile_rmse,weighted_reach,mass_l1,event_time,censored,diverged,tau,budget,virtual_batch,warm_fraction,pulse_period,noise_mix,diagnostic_gap_count,diagnostic_max_gap_ratio,generator_forward_calls,selector_calls,selector_kernel_pairs,selector_example_evals,tau_counts
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,missing,PQTC-F01-unequal-translated-K6/missing,0,1200,1200,,,,,,4096,1,5.9375,,4.113871300010942,1766400,906240,906240,11796480,17203200.0,,0.041898608181555996,0.287560965485255,,1.0,0.09921875000000002,150,0,0,0.5,update,1024,0.7,0,0.0,5,2154.7840679597884,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,missing,PQTC-F01-unequal-translated-K6/missing,1,1200,1200,,,,,,4096,1,5.3125,,3.6835930999950506,1766400,906240,906240,11796480,17203200.0,,0.030925544111791048,0.2758253049039301,,1.0,0.10757812499999997,100,0,0,0.5,update,1024,0.7,0,0.0,5,2057.6176306752445,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,missing,PQTC-F01-unequal-translated-K6/missing,2,1200,1200,,,,,,4096,1,6.125,,3.792648199974792,1766400,906240,906240,11796480,17203200.0,,0.03201570253770791,0.2661177269104012,,1.0,0.06140625000000003,150,0,0,0.5,update,1024,0.7,0,0.0,5,2278.921970034382,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,missing,PQTC-F01-unequal-translated-K6/missing,3,1200,1200,,,,,,4096,1,5.0625,,3.934473999979673,1766400,906240,906240,11796480,17203200.0,,0.036269297462727224,0.26456700826808993,,1.0,0.039257812500000024,200,0,0,0.5,update,1024,0.7,0,0.0,5,2344.6559881476906,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,missing,PQTC-F01-unequal-translated-K6/missing,4,1200,1200,,,,,,4096,1,5.0625,,3.9387318000080995,1766400,906240,906240,11796480,17203200.0,,0.03293475806246082,0.2658993664087782,,1.0,0.03753906249999996,150,0,0,0.5,update,1024,0.7,0,0.0,5,2167.8593088668595,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,missing,PQTC-F01-unequal-translated-K6/missing,5,1200,1200,,,,,,4096,1,5.375,,4.020709199976409,1766400,906240,906240,11796480,17203200.0,,0.03399231309061923,0.2679701629244684,,1.0,0.03628906249999996,150,0,0,0.5,update,1024,0.7,0,0.0,5,2263.5039694077777,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,missing,PQTC-F01-unequal-translated-K6/missing,6,1200,1200,,,,,,4096,1,4.875,,4.076980299985735,1766400,906240,906240,11796480,17203200.0,,0.02963518354422945,0.2611587297822534,,1.0,0.055761718750000015,200,0,0,0.5,update,1024,0.7,0,0.0,5,2248.2656001766095,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,missing,PQTC-F01-unequal-translated-K6/missing,7,1200,1200,,,,,,4096,1,5.875,,4.351971299998695,1766400,906240,906240,11796480,17203200.0,,0.03370688559941115,0.27876658349315847,,1.0,0.04246093750000001,150,0,0,0.5,update,1024,0.7,0,0.0,5,2304.4270213899636,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,missing,PQTC-F01-unequal-translated-K6/missing,8,1200,1200,,,,,,4096,1,4.9375,,4.332821300020441,1766400,906240,906240,11796480,17203200.0,,0.030534571101030306,0.2653430138683608,,1.0,0.07662109375000004,200,0,0,0.5,update,1024,0.7,0,0.0,5,2337.1665488525223,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,missing,PQTC-F01-unequal-translated-K6/missing,9,1200,1200,,,,,,4096,1,4.625,,4.141233300004387,1766400,906240,906240,11796480,17203200.0,,0.030892621896080108,0.273121112086563,,1.0,0.06974609375000004,150,0,0,0.5,update,1024,0.7,0,0.0,5,2499.318388373751,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
