K,d,arm,comparison,seed,steps,final_ED2,coverage,mass_error,event_time,censored,kernel_pairs,wall_seconds,L_est,sigma_est,best_tau,oracle_tune_kernel_pairs
4,5,paper-fixed-common,bandwidth-only/equal-compute,1,26,0.06225673290916123,1.0,0.1875,26,1,239616,0.08080744743347168,0.9972631025089063,0.1507304480171791,0.21213203435596423,2211840
4,5,anneal-oracle-common,bandwidth-only,0,80,0.028438454613108455,1.0,0.0625,80,1,245760,0.22560715675354004,0.9972631025089063,0.1507304480171791,0.21213203435596423,2211840
4,5,anneal-oracle-common,bandwidth-only,1,80,0.033985886392497555,1.0,0.125,80,1,245760,0.21915435791015625,0.9972631025089063,0.1507304480171791,0.21213203435596423,2211840
4,5,anneal-estimated-common,bandwidth-only,0,80,0.02839411309617268,1.0,0.0625,80,1,245760,0.22121882438659668,0.9972631025089063,0.1507304480171791,0.21213203435596423,2211840
4,5,anneal-estimated-common,bandwidth-only,1,80,0.03392389830341347,1.0,0.125,80,1,245760,0.21745872497558594,0.9972631025089063,0.1507304480171791,0.21213203435596423,2211840
4,5,oracle-grid-common,held-out oracle,0,80,0.01687903309668093,1.0,0.125,80,1,245760,0.22250795364379883,0.9972631025089063,0.1507304480171791,0.21213203435596423,2211840
4,5,oracle-grid-common,held-out oracle,1,80,0.018617707753230017,1.0,0.125,68,0,245760,0.22373247146606445,0.9972631025089063,0.1507304480171791,0.21213203435596423,2211840
4,5,fine-joint,joint policy,0,80,0.06623291371093087,1.0,0.0625,80,1,245760,0.2243056297302246,0.9972631025089063,0.1507304480171791,0.21213203435596423,2211840
4,5,fine-joint,joint policy,1,80,0.0844277433923818,1.0,0.1875,80,1,245760,0.22410917282104492,0.9972631025089063,0.1507304480171791,0.21213203435596423,2211840
4,5,coarse-joint,joint policy,0,80,0.02315287200113314,1.0,0.0625,80,1,245760,0.22113776206970215,0.9972631025089063,0.1507304480171791,0.21213203435596423,2211840
4,5,coarse-joint,joint policy,1,80,0.027550841530359915,1.0,0.125,80,1,245760,0.2234818935394287,0.9972631025089063,0.1507304480171791,0.21213203435596423,2211840
4,5,anneal-oracle-joint,joint policy,0,80,0.04543734857957671,1.0,0.0625,80,1,245760,0.22387027740478516,0.9972631025089063,0.1507304480171791,0.21213203435596423,2211840
4,5,anneal-oracle-joint,joint policy,1,80,0.05338290166511328,1.0,0.125,80,1,245760,0.22358345985412598,0.9972631025089063,0.1507304480171791,0.21213203435596423,2211840
4,5,anneal-estimated-joint,joint policy,0,80,0.04541331698284412,1.0,0.0625,80,1,245760,0.22669196128845215,0.9972631025089063,0.1507304480171791,0.21213203435596423,2211840
4,5,anneal-estimated-joint,joint policy,1,80,0.053358146103881676,1.0,0.125,80,1,245760,0.22064948081970215,0.9972631025089063,0.1507304480171791,0.21213203435596423,2211840
