target_weights,estimator,per_mode,N,batch,mask,seed,total_steps,final_ED2,coverage,mass_error,residual_rms,generator_max_real,perturbation_ratio,stable_wrong_candidate,kernel_pairs,wall_seconds
equal,paper,2,8,16,True,5,400,0.3294404711996549,1.0,0.25,0.03577669830046514,0.13242070841586395,nan,0,76800,0.5778658390045166
equal,paper,2,8,64,False,0,400,0.13799132908360312,1.0,0.25,0.08770240895707941,0.931950706414199,nan,0,230400,0.5888872146606445
equal,paper,2,8,64,False,1,2000,0.20953903558646625,1.0,0.75,0.02381926044421887,0.053752886344344726,0.6556082580473352,0,1152000,2.946002960205078
equal,paper,2,8,64,False,2,400,0.14010377984871114,1.0,0.25,0.017796300418982777,0.24052690648962077,nan,0,230400,0.5979170799255371
equal,paper,2,8,64,False,3,2000,0.11443802330306785,1.0,0.5,0.02084796377466491,0.10072720999219006,0.8429425415004563,0,1152000,2.893505573272705
equal,paper,2,8,64,False,4,400,0.09417143231200276,1.0,0.25,0.0413343960575577,0.15583390034120367,nan,0,230400,0.5892488956451416
equal,paper,2,8,64,False,5,400,0.03804950776408733,1.0,0.25,0.016028098038430198,0.0032411389042172802,nan,0,230400,0.5927062034606934
equal,paper,2,8,64,True,0,400,0.24921128702046758,1.0,0.25,0.0134619289250052,0.026341829310393174,nan,0,230400,0.5883269309997559
equal,paper,2,8,64,True,1,2000,0.2565164811465822,1.0,0.25,0.012658526835632095,0.06319821062769806,nan,0,1152000,2.8911993503570557
equal,paper,2,8,64,True,2,400,0.256319144504226,1.0,0.25,0.022545443080267662,0.09864423934538795,nan,0,230400,0.5950310230255127
equal,paper,2,8,64,True,3,400,0.14769722563461885,1.0,0.25,0.02841195885621259,0.32190378554737675,nan,0,230400,0.5910723209381104
equal,paper,2,8,64,True,4,400,0.14364375630884385,1.0,0.25,0.045609505416682065,0.10237568440097963,nan,0,230400,0.5848066806793213
equal,paper,2,8,64,True,5,400,0.11961304047662968,1.0,0.25,0.030923095653861463,0.042705770324746206,nan,0,230400,0.5917079448699951
equal,paper,4,16,16,False,0,400,0.24332083333387466,1.0,0.375,0.16778481060254466,nan,nan,0,204800,0.5852835178375244
equal,paper,4,16,16,False,1,400,0.13301617086557804,1.0,0.375,0.18628178002231688,nan,nan,0,204800,0.5830447673797607
equal,paper,4,16,16,False,2,400,0.18115225979560312,1.0,0.375,0.21303480683735024,nan,nan,0,204800,0.5899937152862549
equal,paper,4,16,16,False,3,400,0.03847817973753764,1.0,0.25,0.1156428458313777,nan,nan,0,204800,0.6062519550323486
equal,paper,4,16,16,False,4,2000,0.1619206064447839,1.0,0.5,0.014721366011734365,nan,nan,0,1024000,2.941514253616333
equal,paper,4,16,16,False,5,400,0.1600403604996935,1.0,0.25,0.11819511626535376,nan,nan,0,204800,0.5995666980743408
equal,paper,4,16,16,True,0,400,0.23860856387938634,1.0,0.375,0.03921825624256159,nan,nan,0,204800,0.6060419082641602
equal,paper,4,16,16,True,1,400,0.15389223750281344,1.0,0.25,0.027707268007561226,nan,nan,0,204800,0.6007859706878662
equal,paper,4,16,16,True,2,400,0.1749355257685986,1.0,0.375,0.028166885532850603,nan,nan,0,204800,0.5942118167877197
equal,paper,4,16,16,True,3,400,0.07370657508801359,1.0,0.125,0.02851896830195004,nan,nan,0,204800,0.6012444496154785
equal,paper,4,16,16,True,4,400,0.16963756490812798,1.0,0.25,0.03938034063264202,nan,nan,0,204800,0.6008696556091309
equal,paper,4,16,16,True,5,400,0.19514839151395258,1.0,0.125,0.14357712678631274,nan,nan,0,204800,0.5950300693511963
equal,paper,4,16,64,False,0,400,0.07864968000461203,1.0,0.125,0.09379433216529741,nan,nan,0,512000,0.6076667308807373
equal,paper,4,16,64,False,1,400,0.11215299471955043,1.0,0.125,0.061393362229524726,nan,nan,0,512000,0.6008729934692383
equal,paper,4,16,64,False,2,400,0.20920087347282468,1.0,0.125,0.12519222488654663,nan,nan,0,512000,0.6147081851959229
equal,paper,4,16,64,False,3,400,0.04192264621798658,1.0,0.25,0.026371421466404008,nan,nan,0,512000,0.6062772274017334
equal,paper,4,16,64,False,4,400,0.05072711682515452,1.0,0.375,0.1100859668932562,nan,nan,0,512000,0.6089448928833008
equal,paper,4,16,64,False,5,400,0.0956756778785205,1.0,0.125,0.13740381135438673,nan,nan,0,512000,0.6050674915313721
equal,paper,4,16,64,True,0,400,0.11346020342079954,1.0,0.125,0.025809212780763015,nan,nan,0,512000,0.6004056930541992
equal,paper,4,16,64,True,1,400,0.17078438169890664,1.0,0.125,0.10289894765924393,nan,nan,0,512000,0.6150732040405273
equal,paper,4,16,64,True,2,400,0.2448583299482946,1.0,0.0,0.046247618108652376,nan,nan,0,512000,0.5980522632598877
equal,paper,4,16,64,True,3,400,0.09428331706283,1.0,0.25,0.025806616012501775,nan,nan,0,512000,0.595421552658081
equal,paper,4,16,64,True,4,400,0.07805358186722866,1.0,0.375,0.027908747986541072,nan,nan,0,512000,0.6001267433166504
equal,paper,4,16,64,True,5,400,0.16637443611280223,1.0,0.0,0.013777556572572965,nan,nan,0,512000,0.6128907203674316
equal,paper,8,32,16,False,0,400,0.12186409298429124,1.0,0.3125,0.13107303616113541,nan,nan,0,614400,0.6500599384307861
equal,paper,8,32,16,False,1,400,0.10537553088564511,1.0,0.3125,0.15877634577285313,nan,nan,0,614400,0.6337082386016846
equal,paper,8,32,16,False,2,400,0.08382105106974225,1.0,0.1875,0.1323488072423797,nan,nan,0,614400,0.6376895904541016
equal,paper,8,32,16,False,3,400,0.16430478330139076,1.0,0.3125,0.16489103170311692,nan,nan,0,614400,0.635054349899292
equal,paper,8,32,16,False,4,400,0.1227598124220991,1.0,0.1875,0.15978774223928996,nan,nan,0,614400,0.6322669982910156
equal,paper,8,32,16,False,5,400,0.2074927530599605,1.0,0.1875,0.18361999258974834,nan,nan,0,614400,0.6384420394897461
