arm,kind,target,family,dimension,replication,initialization,learning_rate_multiplier,learning_rate,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,diverged,wall_seconds,atlas_build_seconds,evaluation_generator_examples,model_parameters
minibatch-sw,neural,NPR-d4-balanced-gmm,balanced-gmm,4,1,broad,16.0,0.016,0.02882787384918073,0.11820410402379215,0.15749575415497707,0.9831264019012451,2.620520816050608,1.0,0.0537109375,nan,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.8862951999981306,0.0,2048,4740
exact-atlas-rsr,neural,NPR-d4-balanced-gmm,balanced-gmm,4,1,broad,32.0,0.032,0.07484510604200745,0.19264508145347842,0.23986293631866612,0.9808580875396729,2.356992176502045,1.0,0.12890625,nan,20,10240,20480,320,20480,20480,2621440,24670277.592530765,0,68608,0,0,0.2702292999965721,0.0714804000017466,2048,4740
kll-atlas-rsr,neural,NPR-d4-balanced-gmm,balanced-gmm,4,1,broad,32.0,0.032,0.071624926549823,0.1886344691890124,0.23762741659308417,0.9989251494407654,2.4079717165163994,1.0,0.1201171875,nan,20,10240,20480,320,20480,20480,2621440,5898240.0,0,68608,98048,0,0.2604129000028479,0.06019379999634111,2048,4740
kll-small-rsr,neural,NPR-d4-balanced-gmm,balanced-gmm,4,1,broad,16.0,0.016,0.04447923205435478,0.14750937434427583,0.19165053498115578,0.9552788734436035,2.4941690314226124,1.0,0.1240234375,nan,160,10240,20480,320,20480,20480,2621440,3932160.0,0,68608,98048,0,0.4339255999948364,0.06019379999634111,2048,4740
kll-paper-hybrid,neural,NPR-d4-balanced-gmm,balanced-gmm,4,1,broad,32.0,0.032,0.08942118212499706,0.2104801678267969,0.2699482672216216,0.9355456233024597,2.1789691110217193,1.0,0.138671875,nan,20,10240,20480,320,20480,30720,2621440,5898240.0,10485760,68608,98048,0,0.6712589000017033,0.06019379999634111,2048,4740
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d4-balanced-gmm,balanced-gmm,4,1,broad,nan,nan,0.003308000688547974,0.03768732660622863,0.06503698624867014,0.9985920852711163,2.6451667994553074,1.0,0.02734375,nan,100,512,512,1,20480,20480,7864320,48263237.592530765,0,68608,0,0,0.21076039999752538,0.0714804000017466,0,0
paper-neural,neural,NPR-d4-balanced-gmm,balanced-gmm,4,2,concentrated,16.0,0.016,0.022786047521100805,0.09962403920435367,0.13581419299282188,1.0033702850341797,2.4672791847416553,1.0,0.060546875,nan,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.6365141999995103,0.0,2048,4740
minibatch-sw,neural,NPR-d4-balanced-gmm,balanced-gmm,4,2,concentrated,16.0,0.016,0.027802851492982228,0.11561316562486157,0.14912065513034856,1.025014042854309,2.4731306467475216,1.0,0.046875,nan,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.9833012000017334,0.0,2048,4740
exact-atlas-rsr,neural,NPR-d4-balanced-gmm,balanced-gmm,4,2,concentrated,32.0,0.032,0.08516320130995592,0.2099810478283958,0.26447276160006233,0.9917438626289368,2.3974605239188485,1.0,0.1611328125,nan,20,10240,20480,320,20480,20480,2621440,24670277.592530765,0,68608,0,0,0.29013929999928223,0.08252830000128597,2048,4740
kll-atlas-rsr,neural,NPR-d4-balanced-gmm,balanced-gmm,4,2,concentrated,32.0,0.032,0.08273164300110913,0.2083592931910292,0.2621080894826489,0.9890666604042053,2.436013006722661,1.0,0.142578125,nan,20,10240,20480,320,20480,20480,2621440,5898240.0,0,68608,98048,0,0.309634899997036,0.07162899999821093,2048,4740
kll-small-rsr,neural,NPR-d4-balanced-gmm,balanced-gmm,4,2,concentrated,16.0,0.016,0.043918713979931745,0.14413865407343213,0.17787213368718738,0.9818422198295593,2.243332430561965,1.0,0.12890625,nan,160,10240,20480,320,20480,20480,2621440,3932160.0,0,68608,98048,0,0.4937532000039937,0.07162899999821093,2048,4740
kll-paper-hybrid,neural,NPR-d4-balanced-gmm,balanced-gmm,4,2,concentrated,32.0,0.032,0.12923615946206368,0.2515620621410963,0.30982067065973246,0.9287838935852051,2.1568274331390245,1.0,0.25,nan,20,10240,20480,320,20480,30720,2621440,5898240.0,10485760,68608,98048,0,0.7548941999993986,0.07162899999821093,2048,4740
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d4-balanced-gmm,balanced-gmm,4,2,concentrated,nan,nan,0.0022249865661576607,0.03237214842512945,0.04135749635439874,0.9981833437209663,2.6523118231832172,1.0,0.0078125,nan,100,512,512,1,20480,20480,7864320,48263237.592530765,0,68608,0,0,0.24309949999587843,0.08252830000128597,0,0
paper-neural,neural,NPR-d4-balanced-gmm,balanced-gmm,4,2,broad,16.0,0.016,0.043633493842724747,0.1390658019686283,0.18379539701469177,1.0534204244613647,2.330410289297279,1.0,0.078125,nan,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.6212264999994659,0.0,2048,4740
minibatch-sw,neural,NPR-d4-balanced-gmm,balanced-gmm,4,2,broad,16.0,0.016,0.04729573832861167,0.14702133261901168,0.19219669221910193,0.9303985834121704,2.2712770655152497,1.0,0.107421875,nan,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.9556392999948002,0.0,2048,4740
exact-atlas-rsr,neural,NPR-d4-balanced-gmm,balanced-gmm,4,2,broad,32.0,0.032,0.07482257685624027,0.18857837119500837,0.2363723378250201,0.9388365149497986,2.4169391953114063,1.0,0.08984375,nan,20,10240,20480,320,20480,20480,2621440,24670277.592530765,0,68608,0,0,0.27217430000018794,0.08252830000128597,2048,4740
kll-atlas-rsr,neural,NPR-d4-balanced-gmm,balanced-gmm,4,2,broad,32.0,0.032,0.07521006501194538,0.19009805230064175,0.23749510748474786,0.9422279596328735,2.4221821714418055,1.0,0.0947265625,nan,20,10240,20480,320,20480,20480,2621440,5898240.0,0,68608,98048,0,0.28395309999905294,0.07162899999821093,2048,4740
kll-small-rsr,neural,NPR-d4-balanced-gmm,balanced-gmm,4,2,broad,16.0,0.016,0.03326871088060024,0.12401975137675172,0.1632294884911947,0.9888085722923279,2.5376205534312053,1.0,0.0625,nan,160,10240,20480,320,20480,20480,2621440,3932160.0,0,68608,98048,0,0.5162618000031216,0.07162899999821093,2048,4740
kll-paper-hybrid,neural,NPR-d4-balanced-gmm,balanced-gmm,4,2,broad,32.0,0.032,0.08153836690206617,0.20718247588057853,0.2589686691402218,1.0504904985427856,2.580288648716174,1.0,0.1337890625,nan,20,10240,20480,320,20480,30720,2621440,5898240.0,10485760,68608,98048,0,0.8805442000011681,0.07162899999821093,2048,4740
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d4-balanced-gmm,balanced-gmm,4,2,broad,nan,nan,0.0022070194621099937,0.03180168641946092,0.04087133663837516,0.998186590071507,2.6403626986587683,1.0,0.01171875,nan,100,512,512,1,20480,20480,7864320,48263237.592530765,0,68608,0,0,0.20694889999867883,0.08252830000128597,0,0
