target,family,arm,ed2,heldout_sw1,heldout_projection_rmse,coverage,mass_l1,minority_particle_mass,minority_recovered,bridge_fraction,excess_bridge_fraction,diverged,wall_seconds,persistent_bytes,peak_working_bytes,target_table_rmse,training_projection_rmse
CF-F6-MULTICURVE-01,multiple-curves,exact-pooled-ceiling,0.0010725798199188175,0.02075908006672939,0.027044743440099807,nan,nan,nan,0.0,nan,nan,0.0,0.027949950002948754,309248.0,5240832.0,0.0,0.022661641390099057
CF-F6-MULTICURVE-02,multiple-curves,paper-tau1,0.008454989191347462,0.06555619087042808,0.08814217900722544,nan,nan,nan,0.0,nan,nan,0.0,0.08040140000230167,1024.0,2048.0,nan,nan
CF-F6-MULTICURVE-02,multiple-curves,historical-online-psqt,0.002645181520381956,0.04287727257235621,0.052018680061714534,nan,nan,nan,0.0,nan,nan,0.0,0.10637384999427013,18440.0,34824.0,0.03170155867384486,0.022790545405149253
CF-F6-MULTICURVE-02,multiple-curves,pooled-rank-kll128,0.0012800146549180047,0.02505892434976809,0.03190590776063895,nan,nan,nan,0.0,nan,nan,0.0,0.028549950002343394,48000.0,72576.0,0.01160474153032981,0.02591245991905142
CF-F6-MULTICURVE-02,multiple-curves,pooled-rank-reservoir1024,0.0019285739753192033,0.03146353701920791,0.040652198991341724,nan,nan,nan,0.0,nan,nan,0.0,0.030965149999246933,18448.0,296976.0,0.027688364534802314,0.023467557873561945
CF-F6-MULTICURVE-02,multiple-curves,exact-pooled-ceiling,0.001323514142803961,0.02546625989444104,0.032984830841731566,nan,nan,nan,0.0,nan,nan,0.0,0.027312850012094714,309248.0,5240832.0,0.0,0.02273610134696286
CF-F6-MULTICURVE-03,multiple-curves,paper-tau1,0.00820069094729381,0.05844125204592797,0.07904197862956408,nan,nan,nan,0.0,nan,nan,0.0,0.07804895000299439,1024.0,2048.0,nan,nan
CF-F6-MULTICURVE-03,multiple-curves,historical-online-psqt,0.0025417394974631136,0.041480607606938474,0.06445658533435417,nan,nan,nan,0.0,nan,nan,0.0,0.10633414998301305,18440.0,34824.0,0.045236820308907286,0.023883945526157926
CF-F6-MULTICURVE-03,multiple-curves,pooled-rank-kll128,0.0012504048036278137,0.024056422366400473,0.035700422960082884,nan,nan,nan,0.0,nan,nan,0.0,0.028514650010038167,48000.0,72576.0,0.015034481519319827,0.03567085649908165
CF-F6-MULTICURVE-03,multiple-curves,pooled-rank-reservoir1024,0.0019617533026073386,0.029693202183339235,0.04235101142657818,nan,nan,nan,0.0,nan,nan,0.0,0.030835700003081,18448.0,296976.0,0.025167074521390075,0.03279282734107087
CF-F6-MULTICURVE-03,multiple-curves,exact-pooled-ceiling,0.0012290588180098871,0.024657425822155653,0.03628795860240448,nan,nan,nan,0.0,nan,nan,0.0,0.027682600019033998,309248.0,5240832.0,0.0,0.032920361238975585
CF-F6-MULTICURVE-04,multiple-curves,paper-tau1,0.00859532042920752,0.06426548534463589,0.09657365927149532,nan,nan,nan,0.0,nan,nan,0.0,0.08264609999605455,1024.0,2048.0,nan,nan
CF-F6-MULTICURVE-04,multiple-curves,historical-online-psqt,0.002353338016661377,0.03906333554807463,0.0486115341541901,nan,nan,nan,0.0,nan,nan,0.0,0.10646355000790209,18440.0,34824.0,0.031076816301168333,0.02177343372775053
CF-F6-MULTICURVE-04,multiple-curves,pooled-rank-kll128,0.001115496281163808,0.022733449433840765,0.029834027885566185,nan,nan,nan,0.0,nan,nan,0.0,0.028519900006358512,48000.0,72576.0,0.011250221998732579,0.02548253594955794
CF-F6-MULTICURVE-04,multiple-curves,pooled-rank-reservoir1024,0.002277808548103444,0.03280672412550811,0.044673080584944715,nan,nan,nan,0.0,nan,nan,0.0,0.03118999999423977,18448.0,296976.0,0.03540214216842316,0.024032679342562677
CF-F6-MULTICURVE-04,multiple-curves,exact-pooled-ceiling,0.0010343057291780644,0.021736724984399124,0.02853165395838382,nan,nan,nan,0.0,nan,nan,0.0,0.0269978500000434,309248.0,5240832.0,0.0,0.022572015631075915
CF-F6-MULTICURVE-05,multiple-curves,paper-tau1,0.0095324543271319,0.07639978922312776,0.12085617636669618,nan,nan,nan,0.0,nan,nan,0.0,0.0793993999977829,1024.0,2048.0,nan,nan
