stream,order,repeat,implementation,chunks,merged,n,retained_items,serialized_bytes,max_rank_error,mean_rank_error,quantile_rmse,monotone,observed_support,serialized_replay
student-t3,alternating-extremes,0,local-fixed-capacity,1,0,19200,75,300,0.011093750000000013,0.004864908854166666,0.4829530119895935,1,1,1
student-t3,alternating-extremes,1,apache,1,0,19200,344,1436,0.0050000000000000044,0.001688639322916671,0.18185849487781525,1,1,1
student-t3,alternating-extremes,1,local-fixed-capacity,1,0,19200,75,300,0.012968750000000001,0.006410319010416665,1.802865982055664,1,1,1
student-t3,alternating-extremes,2,apache,1,0,19200,344,1436,0.0077604166666666585,0.003703613281250003,0.06564051657915115,1,1,1
student-t3,alternating-extremes,2,local-fixed-capacity,1,0,19200,75,300,0.00854166666666667,0.0036083984374999994,0.1303935945034027,1,1,1
student-t3,alternating-extremes,3,apache,1,0,19200,344,1436,0.0069270833333333615,0.0031665039062500015,0.0848306193947792,1,1,1
student-t3,alternating-extremes,3,local-fixed-capacity,1,0,19200,75,300,0.010781249999999964,0.0046582031250000005,0.29464390873908997,1,1,1
student-t3,alternating-extremes,4,apache,1,0,19200,344,1436,0.007916666666666683,0.0024812825520833326,0.12001926451921463,1,1,1
student-t3,alternating-extremes,4,local-fixed-capacity,1,0,19200,75,300,0.010000000000000009,0.004206542968750001,0.21614232659339905,1,1,1
student-t3,alternating-extremes,5,apache,1,0,19200,344,1436,0.009583333333333388,0.004235026041666668,0.250825971364975,1,1,1
student-t3,alternating-extremes,5,local-fixed-capacity,1,0,19200,75,300,0.012604166666666639,0.006068522135416667,0.8307316899299622,1,1,1
student-t3,alternating-extremes,6,apache,1,0,19200,344,1436,0.004218749999999993,0.0015844726562500003,0.06483477354049683,1,1,1
student-t3,alternating-extremes,6,local-fixed-capacity,1,0,19200,75,300,0.01145833333333332,0.005123697916666665,0.5054721832275391,1,1,1
student-t3,alternating-extremes,7,apache,1,0,19200,344,1436,0.005312499999999998,0.002334798177083334,0.08291193842887878,1,1,1
student-t3,alternating-extremes,7,local-fixed-capacity,1,0,19200,75,300,0.01130208333333338,0.005010579427083333,0.33807551860809326,1,1,1
student-t3,alternating-extremes,8,apache,1,0,19200,344,1436,0.007395833333333324,0.0031339518229166604,0.05676434189081192,1,1,1
student-t3,alternating-extremes,8,local-fixed-capacity,1,0,19200,75,300,0.010833333333333361,0.004691569010416665,0.295375794172287,1,1,1
student-t3,alternating-extremes,9,apache,1,0,19200,344,1436,0.010052083333333295,0.005087076822916661,0.062230903655290604,1,1,1
student-t3,alternating-extremes,9,local-fixed-capacity,1,0,19200,75,300,0.011562500000000031,0.005201822916666665,0.4350351095199585,1,1,1
student-t3,alternating-extremes,10,apache,1,0,19200,344,1436,0.006093750000000009,0.003386230468750001,0.0760306864976883,1,1,1
student-t3,alternating-extremes,10,local-fixed-capacity,1,0,19200,75,300,0.008593750000000011,0.0036246744791666686,0.16430743038654327,1,1,1
student-t3,alternating-extremes,11,apache,1,0,19200,344,1436,0.006145833333333295,0.002607421875000003,0.07270124554634094,1,1,1
student-t3,alternating-extremes,11,local-fixed-capacity,1,0,19200,75,300,0.011197916666666669,0.0049365234375,0.48763737082481384,1,1,1
student-t3,alternating-extremes,-1,apache,17,0,19200,344,1436,0.007499999999999951,0.0028426106770833293,0.08597873896360397,1,1,1
student-t3,alternating-extremes,-2,apache,17,1,19200,353,1468,0.004270833333333335,0.0012418619791666672,0.06561607867479324,1,1,1
lognormal-centered,shuffled,0,apache,1,0,19200,344,1436,0.010937500000000044,0.002461751302083337,0.06932289153337479,1,1,1
lognormal-centered,shuffled,0,local-fixed-capacity,1,0,19200,75,300,0.01286458333333329,0.006310221354166668,1.4559643268585205,1,1,1
lognormal-centered,shuffled,1,apache,1,0,19200,344,1436,0.008958333333333346,0.0032902018229166692,0.13671378791332245,1,1,1
lognormal-centered,shuffled,1,local-fixed-capacity,1,0,19200,75,300,0.007500000000000007,0.0033764648437500005,0.049791350960731506,1,1,1
lognormal-centered,shuffled,2,apache,1,0,19200,344,1436,0.008124999999999993,0.0030891927083333327,0.11974454671144485,1,1,1
lognormal-centered,shuffled,2,local-fixed-capacity,1,0,19200,75,300,0.011666666666666659,0.0052807617187500015,0.17468133568763733,1,1,1
lognormal-centered,shuffled,3,apache,1,0,19200,344,1436,0.006354166666666661,0.002574869791666666,0.2549899220466614,1,1,1
lognormal-centered,shuffled,3,local-fixed-capacity,1,0,19200,75,300,0.008958333333333346,0.003746744791666665,0.06823929399251938,1,1,1
lognormal-centered,shuffled,4,apache,1,0,19200,344,1436,0.007500000000000007,0.0023673502604166664,0.0653383657336235,1,1,1
lognormal-centered,shuffled,4,local-fixed-capacity,1,0,19200,75,300,0.008802083333333321,0.003692220052083331,0.0639238953590393,1,1,1
lognormal-centered,shuffled,5,apache,1,0,19200,344,1436,0.011875000000000024,0.003372395833333329,0.09508883208036423,1,1,1
lognormal-centered,shuffled,5,local-fixed-capacity,1,0,19200,75,300,0.01171875,0.005321451822916665,0.7008218169212341,1,1,1
